0,1,2,3,4,5,6,7,8,9
133,6,3,1,0,0,1,2,0,0
4,137,5,0,0,0,0,2,0,0
3,14,120,1,0,0,0,9,0,0
1,0,0,139,4,2,0,0,2,0
0,0,0,2,143,2,0,3,0,0
2,0,0,0,0,146,0,0,1,0
4,1,3,0,0,0,138,1,2,0
3,3,11,2,1,0,1,127,0,0
3,0,0,1,1,0,0,1,142,0
2,0,1,0,0,0,2,0,0,136
