true_target,predicted_target,count
2,1,14
7,2,11
2,7,9
0,1,6
1,0,4
1,2,4
3,4,4
6,0,4
0,2,3
2,0,3
6,2,3
7,0,3
7,1,3
8,0,3
0,7,2
1,7,2
3,5,2
3,8,2
4,3,2
4,5,2
4,7,2
5,0,2
6,8,2
7,3,2
9,0,2
9,6,2
0,3,1
0,6,1
2,3,1
3,0,1
4,0,1
5,8,1
6,1,1
6,7,1
7,4,1
7,6,1
8,3,1
8,4,1
8,7,1
9,2,1
