run_id,status,created_utc,model,feature,split_seed,params_json,n_train,n_validation,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_eval_loss,val_eval_loss,loss_kind,val_predict_seconds,val_predict_ms_per_sample,final_eval_seconds,fit_seconds,epoch_eval_seconds,trained_epochs,best_epoch,stop_reason,n_features,tfidf_fit_seconds,text_prepare_seconds,val_transform_seconds,train_zero_vectors,val_zero_vectors,clean_nonempty_overlap_count,tfidf_fit_rows,tfidf_fit_role,bundle_size_mb,warning_count,warnings,total_run_seconds,test_used,fixed_config_name,estimator_n_iter,n_support_vectors,n_trainable_parameters
NB_raw_uni_s42_68570d7a6bcc,ok,2026-09-18T10:49:15+00:00,NB,raw_uni,42,"{""alpha"": 0.1}",5894,1474,0.9635222259925348,0.8914518317503393,0.9637034531131323,0.8921926312556477,0.2107082048263511,0.40499915165751044,cross_entropy_eval,0.0005457999995996943,0.0003702849386700775,0.011123599999336875,0.003135400000246591,0.0,,,estimator_fit_returned,5000,0.7442838999995729,0.0007430999994539889,0.1473491999986436,0,0,0,5894,training_subset_only,0.6275272369384766,0,,0.9781356000003143,False,NB_raw_uni,,,
NB_raw_uni_s2024_a7cea2532646,ok,2026-09-18T11:00:34+00:00,NB,raw_uni,2024,"{""alpha"": 0.1}",5894,1474,0.9623345775364778,0.8914518317503393,0.9625366713624981,0.8927480077845976,0.21541180907756852,0.37959494993806214,cross_entropy_eval,0.0005354999993869569,0.00036329715019467907,0.01241680000021006,0.003150800001094467,0.0,,,estimator_fit_returned,5000,0.8545544000007794,0.0005254999996395782,0.15593380000063917,0,0,0,5894,training_subset_only,0.6283788681030273,0,,1.1289018999996188,False,NB_raw_uni,,,
NB_raw_uni_s2025_5052adc009c4,ok,2026-09-18T11:00:35+00:00,NB,raw_uni,2025,"{""alpha"": 0.1}",5894,1474,0.9614862572107228,0.8941655359565808,0.9617009389788181,0.8952521165715259,0.20824655489287222,0.3822263041506274,cross_entropy_eval,0.0008765999991737772,0.0005947082762372979,0.013356699999349075,0.0034426000001985813,0.0,,,estimator_fit_returned,5000,0.7782855000004929,0.0005853999991813907,0.18157830000018294,0,0,0,5894,training_subset_only,0.6360540390014648,0,,1.0728671999986545,False,NB_raw_uni,,,
LR_raw_uni_s42_65286bc71cdb,ok,2026-09-18T10:49:16+00:00,LR,raw_uni,42,"{""C"": 10.0}",5894,1474,0.999151679674245,0.9131614654002713,0.9991528187617258,0.9135327239122535,0.1097099403235619,0.36081919463723144,cross_entropy_eval,0.0005920000003243331,0.00040162822274378095,0.010879900000873022,0.6015254000012646,0.0,,,estimator_fit_returned,5000,0.7442838999995729,0.0007430999994539889,0.1473491999986436,0,0,0,5894,training_subset_only,0.43921375274658203,0,,0.7082099999988714,False,LR_raw_uni,[88],,
LR_raw_uni_s2024_313777cd0c68,ok,2026-09-18T11:00:36+00:00,LR,raw_uni,2024,"{""C"": 10.0}",5894,1474,0.999321343739396,0.9192672998643148,0.9993215934270487,0.9194329187136325,0.11307770467252999,0.3447156309202082,cross_entropy_eval,0.000815199999124161,0.0005530529166378297,0.012310099999012891,0.5403425999993487,0.0,,,estimator_fit_returned,5000,0.8545544000007794,0.0005254999996395782,0.15593380000063917,0,0,0,5894,training_subset_only,0.4388914108276367,0,,0.6300742000003083,False,LR_raw_uni,[76],,
LR_raw_uni_s2025_4bebc782fea5,ok,2026-09-18T11:00:37+00:00,LR,raw_uni,2025,"{""C"": 10.0}",5894,1474,0.999321343739396,0.9111261872455902,0.9993228913498114,0.9115657186547189,0.10901581245773122,0.3713522222711094,cross_entropy_eval,0.00068959999953222,0.0004678426048386838,0.012215299999297713,0.6499848999992537,0.0,,,estimator_fit_returned,5000,0.7782855000004929,0.0005853999991813907,0.18157830000018294,0,0,0,5894,training_subset_only,0.4392709732055664,0,,0.7336230000000796,False,LR_raw_uni,[79],,
SVM_raw_uni_s42_5c95549b4493,ok,2026-09-18T10:55:46+00:00,SVM,raw_uni,42,"{""C"": 10.0}",5894,1474,0.999830335934849,0.9077340569877883,0.9998306519898392,0.9085217865727021,0.00036261892643051725,0.2713652146315738,cs_hinge_on_ovr_scores_eval,3.0522433999994973,2.0707214382628885,30.9747155999994,13.628705400000399,0.0,,,estimator_fit_returned,5000,0.7122270999989269,0.0007638999995833728,0.1485702999998466,0,0,0,5894,training_subset_only,3.562161445617676,0,,44.80508259999988,False,SVM_raw_uni,"[2433, 2332, 1504, 1466, 1379, 1266, 2167, 1647, 1042, 2673, 1288, 1237, 1174, 1107, 1704, 1416, 901, 1499, 1405, 1375, 1328, 2298, 1488, 943, 1900, 1538, 1179, 1894, 1582, 1142, 1346, 1255, 1778, 1644, 1030, 1090, 1638, 1447, 1139, 1632, 1487, 934, 1860, 1116, 1240]",3976.0,
SVM_raw_uni_s2024_4b73a56c9d95,ok,2026-09-18T11:01:24+00:00,SVM,raw_uni,2024,"{""C"": 10.0}",5894,1474,0.999660671869698,0.9118046132971506,0.9996613036151174,0.9121061622509886,0.000707085153532757,0.2412983005091364,cs_hinge_on_ovr_scores_eval,3.2460321000016847,2.202192740842391,32.475714599999264,14.392022300000463,0.0,,,estimator_fit_returned,5000,0.8545544000007794,0.0005254999996395782,0.15593380000063917,0,0,0,5894,training_subset_only,3.6255388259887695,0,,47.04611079999995,False,SVM_raw_uni,"[2333, 2045, 1510, 1339, 1353, 1363, 2156, 1643, 1056, 2449, 1295, 1182, 1129, 1274, 1780, 1361, 943, 1597, 1436, 1285, 1310, 2330, 1461, 916, 1887, 1501, 1189, 1943, 1651, 1170, 1371, 1283, 1795, 1511, 1057, 1126, 1437, 1389, 1099, 1554, 1342, 989, 1916, 1150, 1317]",4015.0,
SVM_raw_uni_s2025_e5ae859f3867,ok,2026-09-18T11:02:13+00:00,SVM,raw_uni,2025,"{""C"": 10.0}",5894,1474,0.999830335934849,0.903663500678426,0.9998306519898392,0.9046592389598272,0.00036728857095849805,0.2799111141235688,cs_hinge_on_ovr_scores_eval,3.531036499998663,2.3955471506096764,34.02087749999919,14.792324199999712,0.0,,,estimator_fit_returned,5000,0.7782855000004929,0.0005853999991813907,0.18157830000018294,0,0,0,5894,training_subset_only,3.6363229751586914,0,,49.048259700000926,False,SVM_raw_uni,"[2386, 2143, 1497, 1484, 1297, 1354, 2282, 1698, 1048, 2665, 1355, 1203, 1158, 1072, 1666, 1293, 940, 1463, 1405, 1305, 1305, 2435, 1414, 929, 1899, 1514, 1265, 1817, 1482, 1160, 1415, 1308, 1732, 1509, 1044, 1079, 1515, 1390, 1153, 1600, 1400, 1057, 1868, 1148, 1364]",4017.0,
MLP_raw_uni_s42_5cf9f90475c4,ok,2026-09-18T10:57:27+00:00,MLP,raw_uni,42,"{""alpha"": 0.001, ""hidden_layer_sizes"": [200]}",5894,1474,0.999321343739396,0.9192672998643148,0.9993214517345954,0.9198594465591174,0.04748991119526601,0.2858805251350133,cross_entropy_eval,0.023069200000463752,0.01565074626897134,0.2796675999998115,36.48514770000111,3.580903500000204,27.0,12.0,patience,5000,0.7122270999989269,0.0007638999995833728,0.1485702999998466,0,0,0,5894,training_subset_only,29.466084480285645,0,,42.89514099999906,False,MLP_raw_uni,1,,1002210.0
MLP_raw_uni_s2024_abb6f96459b0,ok,2026-09-18T11:02:48+00:00,MLP,raw_uni,2024,"{""alpha"": 0.001, ""hidden_layer_sizes"": [200]}",5894,1474,0.999660671869698,0.9192672998643148,0.9996613036151174,0.9197126556167206,0.01800877398974909,0.24782598049186216,cross_entropy_eval,0.01021039999977802,0.0069270013567015055,0.11481809999895631,30.996140000006562,2.873741900000823,28.0,19.0,patience,5000,0.8545544000007794,0.0005254999996395782,0.15593380000063917,0,0,0,5894,training_subset_only,29.46427631378174,0,,35.082699599999614,False,MLP_raw_uni,1,,1002210.0
MLP_raw_uni_s2025_51051cefe2b9,ok,2026-09-18T11:03:30+00:00,MLP,raw_uni,2025,"{""alpha"": 0.001, ""hidden_layer_sizes"": [200]}",5894,1474,0.999830335934849,0.9192672998643148,0.9998306519898392,0.9197474053715082,0.01319379760399281,0.2723338293148672,cross_entropy_eval,0.009699300000647781,0.006580257802339065,0.09603499999866472,37.775320000004285,3.448362900002394,37.0,22.0,patience,5000,0.7782855000004929,0.0005853999991813907,0.18157830000018294,0,0,0,5894,training_subset_only,29.46339511871338,0,,42.38061209999978,False,MLP_raw_uni,1,,1002210.0
MLP_clean_uni_s42_eb0844e20456,ok,2026-09-18T10:59:17+00:00,MLP,clean_uni,42,"{""alpha"": 0.001, ""hidden_layer_sizes"": [200]}",5894,1474,0.999491007804547,0.923337856173677,0.999490799136743,0.923673625699054,0.02832789845671874,0.26344404877907557,cross_entropy_eval,0.007648099999642,0.005188670284696065,0.08257849999972677,24.16966230000071,2.3644288000032248,27.0,15.0,patience,5000,0.7609682000002067,0.13037120000080904,0.150190799999109,0,0,1,5894,training_subset_only,29.466636657714844,0,,28.67994499999986,False,MLP_clean_uni,1,,1002210.0
